,Predictor,Category,Data-coding,Source,Field ID,Transformation1,AOU Question,Unnamed: 6,AOU Answers,Question Concept ID,Answer ID,TERTILES,TERTILE_Answer,TIME TAKEN ,Transformation2,Notes
234,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,836747,,,,1,
235,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529135,,,,1,
236,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529183,,,,1,
237,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529625,,,,1,
238,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,836748,,,,1,
239,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,836749,,,,1,
240,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529732,,,,1,
241,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529816,,,,1,
242,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529867,,,,1,
243,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43529910,,,,1,
244,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,836746,,,,1,
245,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,43528887,,,,1,
246,Cancer.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment,2453,Boolean,Have you or anyone in your family ever been diagnosed with the following cancer conditions? Think only of the people you are related to by blood. Select all that apply. (43528515),,,43528515,836745,,,,1,
247,Cereal.intake...Instance.0,Lifestyle and environment,,Questionnaire/Interview at recruitment ,1458,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
248,Cereal.type...Instance.0_1,Lifestyle and environment,,,,,,,,,,,,,,
249,Cereal.type...Instance.0_2,Lifestyle and environment,2 :Biscuit cereal (e.g. Weetabix),Questionnaire/Interview at recruitment ,1468,One-Hot-Encoding ,,,,,,,,,,
250,Cereal.type...Instance.0_3,Lifestyle and environment,"3 :Oat cereal (e.g. Ready Brek, porridge)",Questionnaire/Interview at recruitment ,1468,One-Hot-Encoding ,,,,,,,,,,
251,Cereal.type...Instance.0_4,Lifestyle and environment,4 :Muesli,Questionnaire/Interview at recruitment ,1468,One-Hot-Encoding ,,,,,,,,,,
252,Cereal.type...Instance.0_5,Lifestyle and environment,"5 :Other (e.g. Cornflakes, Frosties)",Questionnaire/Interview at recruitment ,1468,One-Hot-Encoding ,,,,,,,,,,
253,Cheese.intake...Instance.0_0,Lifestyle and environment,0 : Never,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
254,Cheese.intake...Instance.0_1,,1 : Less than once a week,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
255,Cheese.intake...Instance.0_2,Lifestyle and environment,2 : Once a week,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
256,Cheese.intake...Instance.0_3,,3 : 2-4 times a week,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
257,Cheese.intake...Instance.0_4,Lifestyle and environment,4 : 5-6 times a week,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
258,Cheese.intake...Instance.0_5,Lifestyle and environment,5 : Once or more daily,Questionnaire/Interview at recruitment ,1408,One-Hot-Encoding ,,,,,,,,,,
259,Chest.pain.due.to.walking.ceases.when.standing.still...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,3616,Boolean,,,,,,,,,,
260,Chest.pain.due.to.walking.ceases.when.standing.still...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,3616,Boolean,,,,,,,,,,
261,Chest.pain.or.discomfort...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,2335,Boolean,,,,,,,,,,
262,Chest.pain.or.discomfort...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,2335,Boolean,,,,,,,,,,
263,Chest.pain.or.discomfort.walking.normally...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,3606,Boolean,,,,,,,,,,
264,Chest.pain.or.discomfort.walking.normally...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,3606,Boolean,,,,,,,,,,
265,Chest.pain.or.discomfort.when.walking.uphill.or.hurrying...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,3751,Boolean,,,,,,,,,,
266,Chest.pain.or.discomfort.when.walking.uphill.or.hurrying...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,3751,Boolean,,,,,,,,,,
267,Childhood.sunburn.occasions...Instance.0,,,Questionnaire/Interview at recruitment ,1737,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
268,Cochlear.implant...Instance.0_0,,0 : No,Questionnaire/Interview at recruitment ,4792,Boolean,,,,,,,,,,
269,Cochlear.implant...Instance.0_1,,1 : Yes,Questionnaire/Interview at recruitment ,4792,Boolean,,,,,,,,,,
270,Coffee.intake...Instance.0,Lifestyle and environment,,Questionnaire/Interview at recruitment ,1498,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
271,Coffee.type...Instance.0_1,,1 : Decaffeinated coffee (any type),Questionnaire/Interview at recruitment ,1508,One-Hot-Encoding ,,,,,,,,,,
272,Coffee.type...Instance.0_2,Lifestyle and environment,2 : Instant coffee,Questionnaire/Interview at recruitment ,1508,One-Hot-Encoding ,,,,,,,,,,
273,Coffee.type...Instance.0_3,Lifestyle and environment,"3 : Ground coffee (include espresso, filter etc)",Questionnaire/Interview at recruitment ,1508,One-Hot-Encoding ,,,,,,,,,,
274,Coffee.type...Instance.0_4,,4 : Other type of coffee,Questionnaire/Interview at recruitment ,1508,One-Hot-Encoding ,,,,,,,,,,
275,Combined.sex.major.operations_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,,Boolean,,,,,,,,,,
276,Combined.sex.major.operations_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,,Boolean,,,,,,,,,,
277,Combined.sex.medication_1,Health and medical history,1 : Cholesterol lowering medication,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,Are you currently prescribed medications and/or receiving treatment for high cholesterol,,Yes,43528793,43530167,,,,1,
278,Combined.sex.medication_1,Health and medical history,,,,,,,No,43528793,43529474,,,,0,
279,Combined.sex.medication_1,Health and medical history,,,,,,,Skip,43528793,903096,,,,,
280,Combined.sex.medication_2,Health and medical history,2 : Blood pressure medication,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,Are you currently prescribed medications and/or receiving treatment for high blood pressure (hypertension)? (1384437),,Yes,1384437,1385316,,,,1,
281,Combined.sex.medication_2,Health and medical history,,,,,,,No,1384437,1384792,,,,0,
282,Combined.sex.medication_2,Health and medical history,,,,,,,Skip,1384437,903096,,,,,
283,Combined.sex.medication_2,Health and medical history,,,,,,,,,,,,,,
284,Combined.sex.medication_3,Health and medical history,3 : Insulin,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,Are you currently prescribed medications and/or receiving treatment for type 2 diabetes? (43528820),,Yes,43528820,43530223,,,,1,
285,Combined.sex.medication_3,Health and medical history,,,,,,,No,43528820,43529529,,,,0,
286,Combined.sex.medication_3,Health and medical history,,,,,,,Skip,43528820,903096,,,,,
287,Combined.sex.medication_4,Health and medical history,4 : Hormone replacement therapy,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,,,,,,,,,,
288,Combined.sex.medication_4,Health and medical history,,,,,,,,,,,,,,
289,Combined.sex.medication_4,Health and medical history,,,,,,,,,,,,,,
290,Combined.sex.medication_5,Health and medical history,5 : Oral contraceptive pill or minipill,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,,,,,,,,,,
291,Combined.sex.medication_5,Health and medical history,,,,,,,,,,,,,,
292,Combined.sex.medication_5,Health and medical history,,,,,,,,,,,,,,
293,Combined.sex.medication_neg7,Health and medical history,-7 : None of the above,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,,,,,,,,,,
294,Combined.sex.medication_neg7,Health and medical history,-7 : None of the above,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,,,,,,,,,,
295,Combined.sex.medication_neg7,Health and medical history,-7 : None of the above,Questionnaire/Interview at recruitment ,,One-Hot-Encoding ,,,,,,,,,,
296,Comparative.body.size.at.age.10...Instance.0_1,Early life factors,1 : Thinner,Questionnaire/Interview at recruitment ,1687,One-Hot-Encoding ,,,,,,,,,,
297,Comparative.body.size.at.age.10...Instance.0_2,Early life factors,2 : Plumper,Questionnaire/Interview at recruitment ,1687,One-Hot-Encoding ,,,,,,,,,,
298,Comparative.body.size.at.age.10...Instance.0_3,Early life factors,3 : About average,Questionnaire/Interview at recruitment ,1687,One-Hot-Encoding ,,,,,,,,,,
299,Comparative.height.size.at.age.10...Instance.0_1,Early life factors,1 : Shorter,Questionnaire/Interview at recruitment ,1697,One-Hot-Encoding ,,,,,,,,,,
300,Comparative.height.size.at.age.10...Instance.0_2,Early life factors,2 : Taller,Questionnaire/Interview at recruitment ,1697,One-Hot-Encoding ,,,,,,,,,,
301,Comparative.height.size.at.age.10...Instance.0_3,Early life factors,3 : About average,Questionnaire/Interview at recruitment ,1697,One-Hot-Encoding ,,,,,,,,,,
302,Cooked.vegetable.intake...Instance.0,Lifestyle and environment,,Questionnaire/Interview at recruitment ,1289,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
303,Country.of.birth..UK.elsewhere....Instance.0_1,Early life factors,1 : England,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
304,Country.of.birth..UK.elsewhere....Instance.0_2,Early life factors,2 : Wales,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
305,Country.of.birth..UK.elsewhere....Instance.0_3,Early life factors,3 : Scotland,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
306,Country.of.birth..UK.elsewhere....Instance.0_4,Early life factors,4 : Northern Ireland,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
307,Country.of.birth..UK.elsewhere....Instance.0_5,Early life factors,5 : Republic of Ireland,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
308,Country.of.birth..UK.elsewhere....Instance.0_6,Early life factors,6 : Elsewhere,Questionnaire/Interview at recruitment ,1647,One-Hot-Encoding ,,,,,,,,,,
309,Current.employment.status...Instance.0_1,Sociodemographics,1 : In paid employment or self-employed,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Employed For Wages,1585952,1585953,,,,1,
310,Current.employment.status...Instance.0_2,Sociodemographics,2 : Retired,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Homemaker,1585952,1585957,,,,1,
311,Current.employment.status...Instance.0_3,Sociodemographics,3 : Looking after home and/or family,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Retired,1585952,1585959,,,,1,
312,Current.employment.status...Instance.0_4,Sociodemographics,4 : Unable to work because of sickness or disability,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Unable To Work,1585952,1585960,,,,1,
313,Current.employment.status...Instance.0_5,Sociodemographics,5 : Unemployed,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Out Of Work Less Than One | Employment Status: Out Of Work One Or More',1585952,1585956,,,,1,
314,Current.employment.status...Instance.0_5,Sociodemographics,5 : Unemployed,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Out Of Work Less Than One | Employment Status: Out Of Work One Or More',1585952,1585955,,,,1,
315,Current.employment.status...Instance.0_6,Sociodemographics,6 : Doing unpaid or voluntary work,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,,1585952,,,,,,
316,Current.employment.status...Instance.0_7,Sociodemographics,7 : Full or part-time student,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,Employment Status: Student,1585952,1585958,,,,1,
317,Current.employment.status...Instance.0_neg7,Sociodemographics,-7 : None of the above,Questionnaire/Interview at recruitment ,6142,One-Hot-Encoding ,,,,1585952,,,,,,
318,Current.tobacco.smoking...Instance.0_0,Lifestyle and environment,0 : No,Questionnaire/Interview at recruitment ,1239,One-Hot-Encoding ,"| Do you now smoke cigarettes every day, some days, or not at all? (1585860)",,Smoke Frequency: Not At All,1585860,1585863,,,,1,
319,Current.tobacco.smoking...Instance.0_1,Lifestyle and environment,"1 : Yes, on most or all days",Questionnaire/Interview at recruitment ,1239,One-Hot-Encoding ,,,smoke Frequency: Every Day,1585860,1585861,,,,1,
320,Current.tobacco.smoking...Instance.0_2,Lifestyle and environment,2 : Only occasionally,Questionnaire/Interview at recruitment ,1239,One-Hot-Encoding ,,,Smoke Frequency: Some Days,1585860,1585862,,,,1,
321,Daytime.dozing...sleeping...Instance.0_0,Lifestyle and environment,0 : Never/rarely,Questionnaire/Interview at recruitment ,1220,One-Hot-Encoding ,,,,,,,,,,
322,Daytime.dozing...sleeping...Instance.0_1,Lifestyle and environment,1 : Sometimes,Questionnaire/Interview at recruitment ,1220,One-Hot-Encoding ,,,,,,,,,,
323,Daytime.dozing...sleeping...Instance.0_2,Lifestyle and environment,2 : Often,Questionnaire/Interview at recruitment ,1220,One-Hot-Encoding ,,,,,,,,,,
324,Diabetes.diagnosed.by.doctor...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,2443,Boolean,"Including yourself, who in your family has had type 1 diabetes? Select all that apply. (836799) | Including yourself, who in your family has had type 2 diabetes? Select all that apply. (836800)",,,836799,,,,,1,
325,Diabetes.diagnosed.by.doctor...Instance.0_0,Health and medical history,0 : No,Questionnaire/Interview at recruitment ,2443,Boolean,"Including yourself, who in your family has had type 1 diabetes? Select all that apply. (836799) | Including yourself, who in your family has had type 2 diabetes? Select all that apply. (836800)",,,836800,,,,,1,
326,Diabetes.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,2443,Boolean,"Including yourself, who in your family has had type 1 diabetes? Select all that apply. (836799) | Including yourself, who in your family has had type 2 diabetes? Select all that apply. (836800)",,,836799,43529923,,,,1,
327,Diabetes.diagnosed.by.doctor...Instance.0_1,Health and medical history,1 : Yes,Questionnaire/Interview at recruitment ,2443,Boolean,"Including yourself, who in your family has had type 1 diabetes? Select all that apply. (836799) | Including yourself, who in your family has had type 2 diabetes? Select all that apply. (836800)",,,836800,43529932,,,,1,
328,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_0,,0 : No,Questionnaire/Interview at recruitment ,1140,One-Hot-Encoding ,,,,,,,,,,
329,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_1,Lifestyle and environment,"1 : Yes, use is now less frequent",Questionnaire/Interview at recruitment ,1140,One-Hot-Encoding ,,,,,,,,,,
330,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_2,Lifestyle and environment,"2 : Yes, use is now more frequent",Questionnaire/Interview at recruitment ,1140,One-Hot-Encoding ,,,,,,,,,,
331,Difference.in.mobile.phone.use.compared.to.two.years.previously...Instance.0_3,Lifestyle and environment,3 : I didn't use a mobile phone two years ago,Questionnaire/Interview at recruitment ,1140,One-Hot-Encoding ,,,,,,,,,,
332,Difficulty.not.smoking.for.1.day...Instance.0_1,Lifestyle and environment,1 : Very easy,Questionnaire/Interview at recruitment ,3476,One-Hot-Encoding ,,,,,,,,,,
333,Difficulty.not.smoking.for.1.day...Instance.0_2,Lifestyle and environment,2 : Fairly easy,Questionnaire/Interview at recruitment ,3476,One-Hot-Encoding ,,,,,,,,,,
334,Difficulty.not.smoking.for.1.day...Instance.0_3,Lifestyle and environment,3 : Fairly difficult,Questionnaire/Interview at recruitment ,3476,One-Hot-Encoding ,,,,,,,,,,
335,Difficulty.not.smoking.for.1.day...Instance.0_4,Lifestyle and environment,4 : Very difficult,Questionnaire/Interview at recruitment ,3476,One-Hot-Encoding ,,,,,,,,,,
336,Distance.between.home.and.job.workplace...Instance.0_Lower.third,Sociodemographics,,Questionnaire/Interview at recruitment ,796,Tertiles,,,,,,,,,,
337,Distance.between.home.and.job.workplace...Instance.0_Middle.third,Sociodemographics,,Questionnaire/Interview at recruitment ,796,Tertiles,,,,,,,,,,
338,Distance.between.home.and.job.workplace...Instance.0_Upper.third,Sociodemographics,,Questionnaire/Interview at recruitment ,796,Tertiles,,,,,,,,,,
339,Dried.fruit.intake...Instance.0,Lifestyle and environment,,Questionnaire/Interview at recruitment ,1319,"Log - standardscaling (mean=0, std=1) ",,,,,,,,,,
340,Drive.faster.than.motorway.speed.limit...Instance.0_1,Lifestyle and environment,1 : Never/rarely,Questionnaire/Interview at recruitment ,1100,One-Hot-Encoding ,,,,,,,,,,
341,Drive.faster.than.motorway.speed.limit...Instance.0_2,Lifestyle and environment,2 : Sometimes,Questionnaire/Interview at recruitment ,1100,One-Hot-Encoding ,,,,,,,,,,
342,Drive.faster.than.motorway.speed.limit...Instance.0_3,Lifestyle and environment,3 : Often,Questionnaire/Interview at recruitment ,1100,One-Hot-Encoding ,,,,,,,,,,
343,Drive.faster.than.motorway.speed.limit...Instance.0_4,Lifestyle and environment,4 : Most of the time,Questionnaire/Interview at recruitment ,1100,One-Hot-Encoding ,,,,,,,,,,
344,Drive.faster.than.motorway.speed.limit...Instance.0_5,Lifestyle and environment,5 : Do not drive on the motorway,Questionnaire/Interview at recruitment ,1100,One-Hot-Encoding ,,,,,,,,,,
345,Duration.of.heavy.DIY...Instance.0_1,Lifestyle and environment,1 : Less than 15 minutes,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
346,Duration.of.heavy.DIY...Instance.0_2,Lifestyle and environment,2 : Between 15 and 30 minutes,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
347,Duration.of.heavy.DIY...Instance.0_3,Lifestyle and environment,3 : Between 30 minutes and1 hour,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
348,Duration.of.heavy.DIY...Instance.0_4,Lifestyle and environment,4 : Between 1 hour and 1½ hours,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
349,Duration.of.heavy.DIY...Instance.0_5,Lifestyle and environment,5 : Between 1½ hours and 2 hours,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
350,Duration.of.heavy.DIY...Instance.0_6,Lifestyle and environment,6 : Between 2 and 3 hours,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
351,Duration.of.heavy.DIY...Instance.0_7,Lifestyle and environment,7 : Over 3 hours,Questionnaire/Interview at recruitment ,2634,One-Hot-Encoding ,,,,,,,,,,
352,Duration.of.light.DIY...Instance.0_1,Lifestyle and environment,1 : Less than 15 minutes,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
353,Duration.of.light.DIY...Instance.0_2,Lifestyle and environment,2 : Between 15 and 30 minutes,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
354,Duration.of.light.DIY...Instance.0_3,Lifestyle and environment,3 : Between 30 minutes and 1 hour,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
355,Duration.of.light.DIY...Instance.0_4,Lifestyle and environment,4 : Between 1 hour and 1½ hours,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
356,Duration.of.light.DIY...Instance.0_5,Lifestyle and environment,5 : Between 1½ hours and 2 hours,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
357,Duration.of.light.DIY...Instance.0_6,Lifestyle and environment,6 : Between 2 and 3 hours,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
358,Duration.of.light.DIY...Instance.0_7,Lifestyle and environment,7 : Over 3 hours,Questionnaire/Interview at recruitment ,1021,One-Hot-Encoding ,,,,,,,,,,
359,Duration.of.moderate.activity...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,894,Tertiles,How much time did you usually spend doing moderate physical activities on one of those days (minutes per day) |How much time did you usually spend doing moderate physical activities on one of those days (hours per day),,,1332870,,<3,Lowest1332870,,1,
360,Duration.of.moderate.activity...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,894,Tertiles,How much time did you usually spend doing moderate physical activities on one of those days (minutes per day) |How much time did you usually spend doing moderate physical activities on one of those days (hours per day),,,1332870,,03-May,Middle1332870,,1,
361,Duration.of.moderate.activity...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,894,Tertiles,How much time did you usually spend doing moderate physical activities on one of those days (minutes per day) |How much time did you usually spend doing moderate physical activities on one of those days (hours per day),,,1332870,,>5,Highest1332870,,1,
362,Duration.of.other.exercises...Instance.0_1,Lifestyle and environment,1 : Less than 15 minutes,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
363,Duration.of.other.exercises...Instance.0_2,Lifestyle and environment,2 : Between 15 and 30 minutes,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
364,Duration.of.other.exercises...Instance.0_3,Lifestyle and environment,3 : Between 30 minutes and1 hour,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
365,Duration.of.other.exercises...Instance.0_4,Lifestyle and environment,4 : Between 1 hour and 1½ hours,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
366,Duration.of.other.exercises...Instance.0_5,Lifestyle and environment,5 : Between 1½ hours and 2 hours,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
367,Duration.of.other.exercises...Instance.0_6,Lifestyle and environment,6 : Between 2 and 3 hours,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
368,Duration.of.other.exercises...Instance.0_7,Lifestyle and environment,7 : Over 3 hours,Questionnaire/Interview at recruitment ,3647,One-Hot-Encoding ,,,,,,,,,,
369,Duration.of.strenuous.sports...Instance.0_1,Lifestyle and environment,,,,,,,,,,,,,,
370,Duration.of.strenuous.sports...Instance.0_2,Lifestyle and environment,2 : Between 15 and 30 minutes,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
371,Duration.of.strenuous.sports...Instance.0_3,Lifestyle and environment,3 : Between 30 minutes and1 hour,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
372,Duration.of.strenuous.sports...Instance.0_4,Lifestyle and environment,4 : Between 1 hour and 1½ hours,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
373,Duration.of.strenuous.sports...Instance.0_5,Lifestyle and environment,5 : Between 1½ hours and 2 hours,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
374,Duration.of.strenuous.sports...Instance.0_6,Lifestyle and environment,6 : Between 2 and 3 hours,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
375,Duration.of.strenuous.sports...Instance.0_7,Lifestyle and environment,7 : Over 3 hours,Questionnaire/Interview at recruitment ,1001,One-Hot-Encoding ,,,,,,,,,,
376,Duration.of.vigorous.activity...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,914,Tertiles,How much time did you usually spend doing vigorous physical activities on one of those days (minutes per day) |How much time did you usually spend doing vigorous physical activities on one of those days (hours per day),,,1332871,,<3,Lowest1332871,,1,
377,Duration.of.vigorous.activity...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,914,Tertiles,How much time did you usually spend doing vigorous physical activities on one of those days (minutes per day) |How much time did you usually spend doing vigorous physical activities on one of those days (hours per day),,Integer,1332871,,03-May,Middle1332871,,1,
378,Duration.of.vigorous.activity...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,914,Tertiles,How much time did you usually spend doing vigorous physical activities on one of those days (minutes per day) |How much time did you usually spend doing vigorous physical activities on one of those days (hours per day),,,1332871,,>5,Highest1332871,,1,
379,Duration.of.walks...Instance.0_Lower.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,874,Tertiles,How much time did you usually spend walking on one of those days (minutes per day)? | How much time did you usually spend walking on one of those days (hours per day)?,,Integer,1332872,,<4,Lowest1332872,,1,
380,Duration.of.walks...Instance.0_Middle.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,874,Tertiles,How much time did you usually spend walking on one of those days (minutes per day)? | How much time did you usually spend walking on one of those days (hours per day)?,,,1332872,,04-Jun,Middle1332872,,1,
381,Duration.of.walks...Instance.0_Upper.third,Lifestyle and environment,,Questionnaire/Interview at recruitment ,874,Tertiles,How much time did you usually spend walking on one of those days (minutes per day)? | How much time did you usually spend walking on one of those days (hours per day)?,,,1332872,,>6,Highest1332872,,1,
382,Duration.walking.for.pleasure...Instance.0_1,Lifestyle and environment,1 : Less than 15 minutes,Questionnaire/Interview at recruitment ,981,One-Hot-Encoding ,,,,,,,,,,
383,Duration.walking.for.pleasure...Instance.0_2,Lifestyle and environment,2 : Between 15 and 30 minutes,Questionnaire/Interview at recruitment ,981,One-Hot-Encoding ,,,,,,,,,,
384,Duration.walking.for.pleasure...Instance.0_3,Lifestyle and environment,3 : Between 30 minutes and1 hour,Questionnaire/Interview at recruitment ,981,One-Hot-Encoding ,,,,,,,,,,
